,Nombre,Precio,Cantidad,Unidades,,,,,,
79,ACEITE SPRAY CANOLA DON OLIO 180 ML,11990,180,mL,,,,,,
80,ACEITE DE GIRASOL GOTA DE ORO 2000 ML,26990,2000,mL,,,,,,
81,MANTEQUILLA CLARIFICADA GHEE NATRI 180GR,10990,180,g,,,,,,
82,ESPARCIBLE VEGETAL DON OLIO 500 G ,7450,500,g,,,,,,
83,BARRA ESPARCIBLE DON OLIO 125 G ,1350,125,g,,,,,,
84,ESPARCIBLE DE CANOLA DON OLIO 250 G,4590,250,g,,,,,,
85,ACEITE OLIVA EXTRAVIR CASTELL D F 1000ML,25990,1000,mL,,,,,,
86,ACEITE OLIVA EXTRAVIRGEN CASTELL DEL FERRO 500 ML,13990,500,mL,,,,,,
87,ACEITE DE COCO VIRGEN NATRI 210 ML,9990,210,mL,,,,,,
88,PANELA PULVERIZADA EL REFUGIO 500 G,3290,500,g,,,,,,
89,ARROZ DIANA 1000 G,4390,1000,g,,,,,,
90,ARROZ INTEGRAL DIANA 1.000 G,4690,1000,g,,,,,,
91,AZÚCAR BLANCA 1000 GRS,4890,1000,g,,,,,,
92,ENDULZANTE CON STEVIA NATRI 180 G,6150,180,g,,,,,,
93,FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,7590,500,g,,,,,,
94,ENDULZANTE FRASCO DULCRALIGHT 180 GRS,4990,180,g,,,,,,
95,FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,7990,500,g,,,,,,
96,AZÚCAR MORENA 1000 GRS,4950,1000,g,,,,,,
97,FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,6990,500,g,,,,,,
98,FRÍJOL CARAOTA GRANIPACK 500 G,3690,500,g,,,,,,
99,ARVEJA EL ESTIO 500 GRS,2190,500,g,,,,,,
100,LENTEJA EL ESTÍO 500 GRS,3790,500,g,,,,,,
101,MAÍZ PIRA EL ESTÍO 500 GRS,2790,500,g,,,,,,
102,GARBANZO EL ESTÍO 500 GRS,3790,500,g,,,,,,
103,ARROZ EL ESTÍO 500 GRS,1990,500,g,,,,,,
104,ARROZ ECONÓMICO EL ESTÍO 454 G,1790,454,g,,,,,,
105,ARROZ PREMIUM EL ESTIO 2500 G,11990,2500,g,,,,,,
106,ARROZ PREMIUM EL ESTÍO 1000 GRS,4990,1000,g,,,,,,
107,PANELA CUADRADA 1000 G,4850,1000,g,,,,,,
108,CALDO DE COSTILLA MAGGI 10 UND 80 G,4290,100,g,,,,,,
109,CALDO DE GALLINA MAGGI 10 UND 88 G,4290,110,g,,,,,,
110,CALDO DE GALLINA SPECIARIA 8 UND - 84 G,1990,84,g,,,,,,
111,CREMA DE CHÓCLO VELSUP 70 G,1390,70,g,,,,,,
112,CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,1990,84,g,,,,,,
113,SOPA AJIACO RICO 45 GR,1290,45,g,,,,,,
114,SOPA CREMA DE POLLO RICO 45 GR,1490,45,g,,,,,,
115,BASE PARA SALSA BECHAMEL/GULASH RICO 45 G,2090,45,g,,,,,,
116,SAL REFISAL 1000 G,1990,1000,g,,,,,,
117,MEZCLA CONDIMENTOS SAZONAREY 35 G,1090,35,g,,,,,,
118,PASTA DE PIMENTÓN DELIKA 110 G,1790,110,g,,,,,,
119,MEZCLA PARA ADOBAR DELIKA 110 G,1790,110,g,,,,,,
120,PASTA DE AJO DELIKA 110 G,1790,110,g,,,,,,
121,BICARBONATO DE SODIO SPECIARIA 200 GR,2290,200,g,,,,,,
122,TOMILLO SPECIARIA 20 G,1900,20,g,,,,,,
123,ALBAHACA SPECIARIA 20 G,1750,20,g,,,,,,
124,COLORANTE NATURAL CURCUMA SPECIARIA 28 G,1990,28,g,,,,,,
125,COMINO SPECIARIA 28 G,2200,28,g,,,,,,
126,LAUREL SPECIARIA 20 G,1750,20,g,,,,,,
127,OREGANO SPECIARIA 20 G,1990,20,g,,,,,,
128,PIMIENTA MOLIDA SPECIARIA 28 G,1990,28,g,,,,,,
129,AJO GRANULADO SPECIARIA 28 G,1990,28,g,,,,,,
130,CANELA EN ASTILLAS SPECIARIA 20 GR,2190,20,g,,,,,,
131,COCO RALLADO SPECIARIA 100 GR,3690,100,g,,,,,,
132, MORINGA EN HOJAS SPECIARIA 8 G,1590,8,g,,,,,,
133,PAPRIKA SPECIARIA 28 G,1590,28,g,,,,,,
134,JENGIBRE EN POLVO SPECIARIA 28 G,1790,28,g,,,,,,
135,CURRY EN POLVO SPECIARIA 28 G,1490,28,g,,,,,,
136,CLAVO ENTERO SPECIARIA 20 G,2890,20,g,,,,,,
137,HARINA DE TRIGO CON POLVO PARA HORNEAR,2190,500,g,,,,,,
138,GRANO ENTERO DE QUINUA,5290,300,g,,,,,,
139,HARINA DE TRIGO QUICKSY 500 G,1890,500,g,,,,,,
140,PREMEZCLA DE GALLETAS CON CHIPS DE CHOCOLATE QUICKSY 350 G,4490,350,g,,,,,,
141,HARINA DE MAIZ BLANCO QUICKSY 1000 G,3850,1000,g,,,,,,
142,HARINA DE MAIZ AMARILLO QUICKSY 1000 G,3850,1000,g,,,,,,
143,CHOCO KRISPIS KELLOGG¿S 200 G,5800,200,g,,,,,,
144,CEREAL FLIPS CHOCOLATE 400 G,11790,400,g,,,,,,
145,CEREAL ORIGINAL FITNESS 230 G,8990,230,g,,,,,,
146,CEREAL DE AVENA CON CANELA FIT GRAAN 300 G,9450,300,g,,,,,,
147,BARRAS DE CEREAL FIT GRAAN 138 G,4990,138,g,,,,,,
148,CEREAL DE MAIZ Y QUINUA FIT GRAAN 300 G,4990,300,g,,,,,,
149,HOJUELA DE MAIZ NATURAL FIT GRAAN 300 GR,4990,300,g,,,,,,
150,HOJUELAS AZUCARADAS FIOCCO 300 G,4690,300,g,,,,,,
151,ARROZ ACHOCOLATADO FIOCCO 320 G,4990,320,g,,,,,,
152,AROS FRUTALES FIOCCO 230 G,4490,230,g,,,,,,
153,AVENA EN HOJUELAS FIT GRAAN 250 G,1690,250,g,,,,,,
154,GRANOLA FRUTOS ROJOS FIT GRAAN 350 G,4590,350,g,,,,,,
155,GRANOLA COCO Y PASAS FIT GRAAN 350 G,4590,350,g,,,,,,
156,TAMAL TOLIMENSE 2 UND 400 G,7750,400,g,,,,,,
157,PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 G,3790,130,g,,,,,,
158,QUINUA PREPARADA CUCINA & AMORE 225 G,7990,225,g,,,,,,
159,SALSA MAYOMOSTAZA CON ESPECIAS SHOWY 200 GR,3890,200,g,,,,,,
160,SALSA TÁRTARA ZEV 200GR,2190,200,g,,,,,,
161,ESENCIA DE VAINILLA SPECIARIA 155ML,2190,155,mL,,,,,,
162,SALSA DE TOMATE FRUCO 650G,7890,650,g,,,,,,
163,SALSA DE AJÍ PICANTE MASH 175 GR,1950,175,g,,,,,,
164,PASTA DE TOMATE ZEV 200 G,2390,200,g,,,,,,
165,MOSTAZA ZEV 200 G,1690,200,g,,,,,,
166,MAYONESA BAJA EN GRASA ZEV 500 G,2990,500,g,,,,,,
167,MAYONESA CON MOSTAZA ZEV 200 GRS,2490,200,g,,,,,,
168,SALSA BBQ MASH 550 G,5450,550,g,,,,,,
169,VINAGRETA LIGHT ZEV 265 G,3950,265,g,,,,,,
170,AJÍ PICANTE MASH 250 G,2990,250,g,,,,,,
171,MIEL DE ABEJAS MEEL 350 G,8190,350,g,,,,,,
